CWA,WFO,LON,LAT,REGION,FULLSTAID,CITYSTATE,CITY,STATE,ST,RADAR
AJK,AJK,   -135.26413052600,     57.80470450460,AR,PAJK,Juneau AK,Juneau,Alaska,AK,ACG
BMX,BMX,    -86.67589104680,     33.02692858610,SR,KBMX,Birmingham AL,Birmingham,Alabama,AL,BMX
MOB,MOB,    -87.62307880310,     31.26177064760,SR,KMOB,Mobile AL,Mobile,Alabama,AL,MOB
HUN,HUN,    -86.76761015270,     34.66612654280,SR,KHUN,Huntsville AL,Huntsville,Alabama,AL,HTX
TAE,TAE,    -84.54159652360,     30.83420110780,SR,KTAE,Tallahassee FL,Tallahassee,Florida,FL,TLH
JAN,JAN,    -90.19955201610,     32.53819354670,SR,KJAN,Jackson MS,Jackson,Mississippi,MS,DGX
LZK,LZK,    -92.47896075560,     34.90845873450,SR,KLZK,Little Rock AR,Little Rock,Arkansas,AR,LZK
TSA,TSA,    -95.24733488020,     35.75420474690,SR,KTSA,Tulsa OK,Tulsa,Oklahoma,OK,INX
MEG,MEG,    -89.56173288490,     35.20433738390,SR,KMEG,Memphis TN,Memphis,Tennessee,TN,NQA
SHV,SHV,    -93.87458027650,     32.62547718060,SR,KSHV,Shreveport LA,Shreveport,Louisiana,LA,SHV
PPG,PPG,   -170.37215399600,    -14.26486118220,PR,PPPG,Pago Pago  AS,Pago Pago,American Samoa,AS,
PUB,PUB,   -104.55933189500,     37.92230771500,CR,KPUB,Pueblo CO,Pueblo,Colorado,CO,PUX
GLD,GLD,   -101.46830322900,     39.42629638890,CR,KGLD,Goodland KS,Goodland,Kansas,KS,GLD
BOU,BOU,   -104.53829419500,     40.01238485280,CR,KBOU,Denver CO,Denver,Colorado,CO,FTG
BOX,BOX,    -71.78177030700,     42.22484779760,ER,KBOX,Taunton MA,Taunton,Massachusetts,MA,BOX
FFC,FFC,    -83.92462244520,     33.32663856270,SR,KFFC,Peachtree City GA,Peachtree City,Georgia,GA,FFC
JAX,JAX,    -82.20782567070,     30.46211596350,SR,KJAX,Jacksonville FL,Jacksonville,Florida,FL,JAX
GSP,GSP,    -82.07998865410,     35.15566779860,ER,KGSP,Greenville-Spartanburg SC,Greenville-Spartanburg,South Carolina,SC,GSP
CAE,CAE,    -81.18193446950,     33.84795843360,ER,KCAE,Columbia SC,Columbia,South Carolina,SC,CAE
DMX,DMX,    -93.74092953430,     41.97574853340,CR,KDMX,Des Moines IA,Des Moines,Iowa,IA,DMX
DVN,DVN,    -91.01533630130,     41.51221357710,CR,KDVN,Quad Cities Ia IL,Quad Cities,Illinois,IL,DVN
FSD,FSD,    -96.95002880450,     43.51627920380,CR,KFSD,Sioux Falls SD,Sioux Falls,South Dakota,SD,FSD
OAX,OAX,    -96.64690577080,     41.37718181500,CR,KOAX,Omaha/Valley NE,Omaha/Valley,Nebraska,NE,OAX
ARX,ARX,    -91.35083775550,     43.77759648960,CR,KARX,La Crosse WI,La Crosse,Wisconsin,WI,ARX
PAH,PAH,    -88.71694444680,     37.41220955460,CR,KPAH,Paducah KY,Paducah,Kentucky,KY,PAH
ILX,ILX,    -89.00487239240,     39.94418054040,CR,KILX,Lincoln IL,Lincoln,Illinois,IL,ILX
LSX,LSX,    -90.83054873570,     38.81667222430,CR,KLSX,St Louis MO,St Louis,Missouri,MO,LSX
LOT,LOT,    -88.25822409620,     41.48410842430,CR,KLOT,Chicago IL,Chicago,Illinois,IL,LOT
IND,IND,    -86.44511286660,     39.62129000230,CR,KIND,Indianapolis IN,Indianapolis,Indiana,IN,IND
IWX,IWX,    -85.45514869770,     41.26534275270,CR,KIWX,Northern Indiana,Northern Indiana,Indiana,IN,IWX
ILN,ILN,    -83.88557129910,     39.54199762350,ER,KILN,Wilmington OH,Wilmington,Ohio,OH,ILN
LMK,LMK,    -85.66810434940,     37.72541135530,CR,KLMK,Louisville KY,Louisville,Kentucky,KY,LVK
DDC,DDC,   -100.16230220200,     37.86151702250,CR,KDDC,Dodge City KS,Dodge City,Kansas,KS,DDC
ICT,ICT,    -97.17602842840,     37.91431491920,CR,KICT,Wichita KS,Wichita,Kansas,KS,ICT
GID,GID,    -98.70203702720,     40.43051683260,CR,KGID,Hastings NE,Hastings,Nebraska,NE,UEX
TOP,TOP,    -96.39392346350,     39.14961125660,CR,KTOP,Topeka KS,Topeka,Kansas,KS,TWX
EAX,EAX,    -93.93018965990,     39.48900520130,CR,KEAX,Kansas City/Pleasant Hill MO,Kansas City/Pleasant Hill,Missouri,MO,EAX
SGF,SGF,    -93.05201113260,     37.40401821400,CR,KSGF,Springfield MO,Springfield,Missouri,MO,SGF
